RNCs;Cells Label;Cells
BHERNC4;UDN01N;BHERNC4_UDN01N
BHERNC4;UDN01P;BHERNC4_UDN01P
BHERNC4;UAZ02J;BHERNC4_UAZ02J
BHERNC4;UKT01M;BHERNC4_UKT01M
BHERNC4;UKT01N;BHERNC4_UKT01N
BHERNC4;UKT01P;BHERNC4_UKT01P
BHERNC4;UZG08A;BHERNC4_UZG08A
BHERNC4;UZG08B;BHERNC4_UZG08B
BHERNC4;UZG08C;BHERNC4_UZG08C
BHERNC4;UZG08G;BHERNC4_UZG08G
BHERNC4;UZG08H;BHERNC4_UZG08H
BHERNC4;UZG08I;BHERNC4_UZG08I
BHERNC4;UZG08J;BHERNC4_UZG08J
BHERNC4;UIP01N;BHERNC4_UIP01N
BHERNC4;UIP01P;BHERNC4_UIP01P
BHERNC4;UPK10M;BHERNC4_UPK10M
BHERNC4;PK10P1;BHERNC4_PK10P1
BHERNC4;UDS01I;BHERNC4_UDS01I
BHERNC4;UDS01H;BHERNC4_UDS01H
BHERNC4;UDS01G;BHERNC4_UDS01G
BHERNC4;UDS01C;BHERNC4_UDS01C
BHERNC4;UDS01B;BHERNC4_UDS01B
BHERNC4;UDS01A;BHERNC4_UDS01A
BHERNC4;UPK101J;BHERNC4_UPK101J
BHERNC4;UPK101G;BHERNC4_UPK101G
BHERNC4;UPK12L;BHERNC4_UPK12L
BHERNC4;UPK12K;BHERNC4_UPK12K
BHERNC4;UPK12J;BHERNC4_UPK12J
BHERNC4;UPK12I;BHERNC4_UPK12I
BHERNC4;UPK12H;BHERNC4_UPK12H
BHERNC4;UPK12G;BHERNC4_UPK12G
BHERNC4;UPK12C;BHERNC4_UPK12C
BHERNC4;UPK12B;BHERNC4_UPK12B
BHERNC4;UPK12A;BHERNC4_UPK12A
BHERNC4;UPK13L;BHERNC4_UPK13L
BHERNC4;UPK13K;BHERNC4_UPK13K
BHERNC4;UPK13J;BHERNC4_UPK13J
BHERNC4;UPK13I;BHERNC4_UPK13I
BHERNC4;UPK13H;BHERNC4_UPK13H
BHERNC4;UPK13G;BHERNC4_UPK13G
BHERNC4;UPK13C;BHERNC4_UPK13C
BHERNC4;UPK13B;BHERNC4_UPK13B
BHERNC4;UPK13A;BHERNC4_UPK13A
BHERNC4;UPK14L;BHERNC4_UPK14L
BHERNC4;UPK14K;BHERNC4_UPK14K
BHERNC4;UPK14J;BHERNC4_UPK14J
BHERNC4;UPK14I;BHERNC4_UPK14I
BHERNC4;UPK14H;BHERNC4_UPK14H
BHERNC4;UPK14G;BHERNC4_UPK14G
BHERNC4;UPK14C;BHERNC4_UPK14C
BHERNC4;UPK14B;BHERNC4_UPK14B
BHERNC4;UPK14A;BHERNC4_UPK14A
